query,design_idx,arm,seq_idx,num_residues_matched,num_residues_expected,avg_plddt,ptm,gpde,has_clash,disorder,sample_ranking_score,self_consistency_rmsd_A,motif_post_fold_rmsd_A,motif_post_fold_max_dev_A,raw_backbone_motif_rmsd_A,designable_strict
d0_ligandmpnn_seq1,0,ligandmpnn,1,155,155,88.710701,0.840224,0.5987,0.0,0.0,0.168045,0.9379,1.6568,1.8834,1.196,False
d0_ligandmpnn_seq2,0,ligandmpnn,2,155,155,45.454815,0.274212,3.556425,0.0,0.096774,0.10323,25.2774,16.9788,18.6697,1.196,False
d0_ligandmpnn_seq3,0,ligandmpnn,3,155,155,51.266544,0.47503,3.444498,0.0,0.0,0.095006,4.9064,2.0894,3.1929,1.196,False
d0_ligandmpnn_seq4,0,ligandmpnn,4,155,155,72.805183,0.741063,1.258636,0.0,0.0,0.148213,4.7697,2.5641,3.4457,1.196,False
d0_ligandmpnn_seq5,0,ligandmpnn,5,155,155,40.782787,0.299678,4.010308,0.0,0.0,0.059936,20.0281,10.1819,12.1524,1.196,False
d0_ligandmpnn_seq6,0,ligandmpnn,6,155,155,51.139038,0.486627,3.097636,0.0,0.058065,0.126358,18.0967,3.2185,4.3223,1.196,False
d0_ligandmpnn_seq7,0,ligandmpnn,7,155,155,70.906548,0.727816,1.289249,0.0,0.0,0.145563,4.6696,2.212,3.1618,1.196,False
d0_ligandmpnn_seq8,0,ligandmpnn,8,155,155,35.234299,0.173007,5.671101,0.0,0.0,0.034601,26.2825,20.0181,21.4247,1.196,False
d0_proteinmpnn_seq1,0,proteinmpnn,1,155,155,65.588104,0.659672,1.666421,0.0,0.0,0.131934,4.6708,3.037,4.2437,1.196,False
d0_proteinmpnn_seq2,0,proteinmpnn,2,155,155,78.291664,0.78854,0.967022,0.0,0.0,0.157708,4.4267,1.7965,2.6981,1.196,False
d0_proteinmpnn_seq3,0,proteinmpnn,3,155,155,76.692146,0.778034,0.985054,0.0,0.0,0.155607,4.4391,1.6548,2.1993,1.196,False
d0_proteinmpnn_seq4,0,proteinmpnn,4,155,155,78.575401,0.769973,0.886785,0.0,0.0,0.153995,4.3083,1.5926,1.6493,1.196,False
d0_proteinmpnn_seq5,0,proteinmpnn,5,155,155,50.933186,0.476184,2.434127,0.0,0.0,0.095237,17.4267,5.1443,7.0809,1.196,False
d0_proteinmpnn_seq6,0,proteinmpnn,6,155,155,77.770088,0.776914,0.922569,0.0,0.0,0.155383,3.1756,2.3532,2.948,1.196,False
