backbone,seq_id,status,mean_plddt,ptm,sc_rmsd,max_motif_ca_dev,motif_within_tol_strict,motif_within_tol_loose,sc_pass
design_0,design_0_seq1,OK,51.59,0.33,7.743,21.823,False,False,False
design_0,design_0_seq2,OK,52.74,0.4,8.354,12.574,False,False,False
design_0,design_0_seq3,OK,67.23,0.43,7.656,13.21,False,False,False
design_0,design_0_seq4,OK,68.91,0.37,12.917,20.556,False,False,False
design_0,design_0_seq5,OK,53.44,0.38,6.553,24.847,False,False,False
design_0,design_0_seq6,OK,74.56,0.58,5.147,12.528,False,False,False
design_0,design_0_seq7,OK,65.0,0.44,16.572,33.029,False,False,False
design_0,design_0_seq8,OK,73.26,0.48,23.741,52.217,False,False,False
design_1,design_1_seq1,OK,76.57,0.65,2.951,3.592,False,False,False
design_1,design_1_seq2,OK,73.07,0.59,2.939,12.124,False,False,False
design_1,design_1_seq3,OK,70.04,0.59,2.579,6.945,False,False,False
design_1,design_1_seq4,OK,79.75,0.67,1.595,4.258,False,False,True
design_1,design_1_seq5,OK,48.16,0.33,12.253,16.71,False,False,False
design_1,design_1_seq6,OK,78.83,0.66,1.85,2.878,False,False,True
design_1,design_1_seq7,OK,70.51,0.56,4.344,17.462,False,False,False
design_1,design_1_seq8,OK,64.23,0.5,2.16,10.465,False,False,False
design_2,design_2_seq1,OK,69.11,0.62,4.674,7.003,False,False,False
design_2,design_2_seq2,OK,65.83,0.39,8.135,35.358,False,False,False
design_2,design_2_seq3,OK,60.82,0.41,5.224,8.067,False,False,False
design_2,design_2_seq4,OK,56.06,0.3,15.42,46.797,False,False,False
design_2,design_2_seq5,OK,69.04,0.6,4.569,14.685,False,False,False
design_2,design_2_seq6,OK,65.71,0.41,4.915,20.922,False,False,False
design_2,design_2_seq7,OK,66.44,0.58,4.6,7.432,False,False,False
design_2,design_2_seq8,OK,72.67,0.67,4.802,8.759,False,False,False
design_3,design_3_seq1,OK,60.39,0.47,10.5,8.461,False,False,False
design_3,design_3_seq2,OK,61.55,0.5,9.414,11.853,False,False,False
design_3,design_3_seq3,OK,55.06,0.48,10.198,16.895,False,False,False
design_3,design_3_seq4,OK,57.71,0.48,8.956,19.506,False,False,False
design_3,design_3_seq5,OK,60.12,0.52,13.511,22.957,False,False,False
design_3,design_3_seq6,OK,56.78,0.51,12.268,22.33,False,False,False
design_3,design_3_seq7,OK,58.58,0.51,9.766,11.888,False,False,False
design_3,design_3_seq8,OK,53.62,0.47,14.275,22.3,False,False,False
design_4,design_4_seq1,OK,81.15,0.72,3.371,3.779,False,False,False
design_4,design_4_seq2,OK,84.01,0.76,2.85,5.732,False,False,False
design_4,design_4_seq3,OK,81.38,0.71,3.763,15.224,False,False,False
design_4,design_4_seq4,OK,82.09,0.75,4.276,13.887,False,False,False
design_4,design_4_seq5,OK,75.97,0.68,5.748,10.595,False,False,False
design_4,design_4_seq6,OK,73.95,0.65,4.384,15.536,False,False,False
design_4,design_4_seq7,OK,80.7,0.74,2.679,2.708,False,False,False
design_4,design_4_seq8,OK,83.25,0.74,2.588,4.723,False,False,False
design_5,design_5_seq1,OK,51.06,0.33,10.549,13.994,False,False,False
design_5,design_5_seq2,OK,56.38,0.45,7.545,19.487,False,False,False
design_5,design_5_seq3,OK,60.88,0.49,8.549,17.294,False,False,False
design_5,design_5_seq4,OK,59.61,0.49,7.634,16.306,False,False,False
design_5,design_5_seq5,OK,64.21,0.49,4.176,7.136,False,False,False
design_5,design_5_seq6,OK,59.01,0.5,9.108,20.475,False,False,False
design_5,design_5_seq7,OK,54.11,0.43,10.7,19.151,False,False,False
design_5,design_5_seq8,OK,62.45,0.49,14.086,21.595,False,False,False
design_6,design_6_seq1,OK,65.09,0.51,5.001,20.312,False,False,False
design_6,design_6_seq2,OK,58.76,0.45,12.705,10.047,False,False,False
design_6,design_6_seq3,OK,62.34,0.38,6.437,29.08,False,False,False
design_6,design_6_seq4,OK,55.11,0.38,8.958,26.288,False,False,False
design_6,design_6_seq5,OK,60.08,0.38,10.557,23.116,False,False,False
design_6,design_6_seq6,OK,58.55,0.35,5.432,20.376,False,False,False
design_6,design_6_seq7,OK,55.07,0.33,6.231,15.572,False,False,False
design_6,design_6_seq8,OK,57.99,0.39,4.229,13.954,False,False,False
design_7,design_7_seq1,OK,58.8,0.45,3.584,7.241,False,False,False
design_7,design_7_seq2,OK,57.15,0.51,2.636,7.727,False,False,False
design_7,design_7_seq3,OK,60.18,0.47,12.066,15.755,False,False,False
design_7,design_7_seq4,OK,67.29,0.39,7.989,14.618,False,False,False
design_7,design_7_seq5,OK,51.38,0.33,13.221,11.409,False,False,False
design_7,design_7_seq6,OK,51.54,0.34,13.585,14.987,False,False,False
design_7,design_7_seq7,OK,59.53,0.49,5.829,9.928,False,False,False
design_7,design_7_seq8,OK,57.14,0.42,13.027,8.958,False,False,False
design_8,design_8_seq1,OK,65.51,0.55,6.419,19.747,False,False,False
design_8,design_8_seq2,OK,57.58,0.4,5.843,14.198,False,False,False
design_8,design_8_seq3,OK,67.33,0.56,7.011,17.699,False,False,False
design_8,design_8_seq4,OK,65.95,0.54,10.426,20.183,False,False,False
design_8,design_8_seq5,OK,66.95,0.5,6.045,16.856,False,False,False
design_8,design_8_seq6,OK,64.76,0.51,11.465,18.75,False,False,False
design_8,design_8_seq7,OK,66.51,0.5,7.283,11.964,False,False,False
design_8,design_8_seq8,OK,59.22,0.47,10.792,17.893,False,False,False
design_9,design_9_seq1,OK,65.58,0.56,8.241,17.028,False,False,False
design_9,design_9_seq2,OK,61.61,0.5,10.145,20.479,False,False,False
design_9,design_9_seq3,OK,64.91,0.51,6.772,17.475,False,False,False
design_9,design_9_seq4,OK,72.91,0.6,7.573,18.983,False,False,False
design_9,design_9_seq5,OK,61.43,0.49,5.5,17.432,False,False,False
design_9,design_9_seq6,OK,61.2,0.56,11.81,28.259,False,False,False
design_9,design_9_seq7,OK,65.87,0.55,8.955,20.522,False,False,False
design_9,design_9_seq8,OK,62.44,0.55,10.625,20.801,False,False,False
