backbone,seq_id,status,mean_plddt,ptm,sc_rmsd,max_motif_ca_dev,motif_within_tol,sc_pass
design_0,design_0_seq1,OK,36.78,0.24,14.527,20.582,False,False
design_0,design_0_seq2,OK,38.33,0.29,11.754,16.792,False,False
design_0,design_0_seq3,OK,61.58,0.53,7.799,10.013,False,False
design_0,design_0_seq4,OK,61.6,0.52,11.971,8.462,False,False
design_0,design_0_seq5,OK,40.21,0.28,15.276,22.175,False,False
design_0,design_0_seq6,OK,40.86,0.31,16.1,21.0,False,False
design_0,design_0_seq7,OK,58.9,0.49,6.75,10.851,False,False
design_0,design_0_seq8,OK,46.56,0.36,11.672,10.33,False,False
design_1,design_1_seq1,OK,47.89,0.4,19.586,14.369,False,False
design_1,design_1_seq2,OK,40.32,0.28,23.197,24.844,False,False
design_1,design_1_seq3,OK,43.11,0.3,18.149,13.811,False,False
design_1,design_1_seq4,OK,43.31,0.34,18.494,9.016,False,False
design_1,design_1_seq5,OK,43.05,0.37,19.545,14.388,False,False
design_1,design_1_seq6,OK,41.43,0.36,16.692,10.47,False,False
design_1,design_1_seq7,OK,52.68,0.43,17.014,12.837,False,False
design_1,design_1_seq8,OK,47.08,0.36,12.512,9.101,False,False
design_2,design_2_seq1,OK,41.49,0.36,18.491,17.486,False,False
design_2,design_2_seq2,OK,47.02,0.39,4.755,12.506,False,False
design_2,design_2_seq3,OK,48.67,0.43,14.697,16.318,False,False
design_2,design_2_seq4,OK,65.86,0.57,3.61,13.264,False,False
design_2,design_2_seq5,OK,43.81,0.33,4.734,15.0,False,False
design_2,design_2_seq6,OK,51.32,0.41,4.93,12.888,False,False
design_2,design_2_seq7,OK,52.86,0.49,18.994,18.527,False,False
design_2,design_2_seq8,OK,61.23,0.5,4.374,14.018,False,False
design_3,design_3_seq1,OK,76.15,0.69,4.341,14.333,False,False
design_3,design_3_seq2,OK,71.38,0.62,3.53,7.339,False,False
design_3,design_3_seq3,OK,85.35,0.74,1.148,2.102,False,True
design_3,design_3_seq4,OK,78.85,0.69,1.571,2.919,False,True
design_3,design_3_seq5,OK,62.79,0.53,3.293,8.595,False,False
design_3,design_3_seq6,OK,81.0,0.72,1.146,2.68,False,True
design_3,design_3_seq7,OK,74.95,0.63,1.482,2.835,False,True
design_3,design_3_seq8,OK,73.28,0.65,3.251,3.288,False,False
design_4,design_4_seq1,OK,39.37,0.29,13.631,35.822,False,False
design_4,design_4_seq2,OK,46.38,0.33,18.066,29.21,False,False
design_4,design_4_seq3,OK,40.02,0.3,14.757,19.274,False,False
design_4,design_4_seq4,OK,40.87,0.27,17.231,36.398,False,False
design_4,design_4_seq5,OK,39.12,0.31,15.239,26.606,False,False
design_4,design_4_seq6,OK,39.68,0.3,14.353,36.612,False,False
design_4,design_4_seq7,OK,46.22,0.42,14.046,21.683,False,False
design_4,design_4_seq8,OK,47.91,0.39,12.026,29.875,False,False
design_5,design_5_seq1,OK,40.38,0.24,16.289,19.593,False,False
design_5,design_5_seq2,OK,36.87,0.23,23.582,10.043,False,False
design_5,design_5_seq3,OK,36.24,0.21,16.642,24.292,False,False
design_5,design_5_seq4,OK,34.35,0.25,18.065,15.714,False,False
design_5,design_5_seq5,OK,39.7,0.24,21.498,13.19,False,False
design_5,design_5_seq6,OK,33.42,0.26,18.281,6.001,False,False
design_5,design_5_seq7,OK,34.11,0.25,24.048,9.852,False,False
design_5,design_5_seq8,OK,36.29,0.23,17.81,20.588,False,False
design_6,design_6_seq1,OK,39.79,0.3,20.098,17.9,False,False
design_6,design_6_seq2,OK,48.29,0.31,19.908,15.636,False,False
design_6,design_6_seq3,OK,38.87,0.28,21.03,15.527,False,False
design_6,design_6_seq4,OK,40.55,0.3,15.606,22.714,False,False
design_6,design_6_seq5,OK,42.18,0.3,18.389,18.134,False,False
design_6,design_6_seq6,OK,39.87,0.29,20.194,18.765,False,False
design_6,design_6_seq7,OK,39.25,0.28,15.353,19.373,False,False
design_6,design_6_seq8,OK,44.25,0.27,20.728,22.131,False,False
design_7,design_7_seq1,OK,43.75,0.31,15.748,41.336,False,False
design_7,design_7_seq2,OK,40.46,0.25,17.581,23.02,False,False
design_7,design_7_seq3,OK,41.13,0.25,15.799,30.488,False,False
design_7,design_7_seq4,OK,46.01,0.3,13.17,26.031,False,False
design_7,design_7_seq5,OK,41.28,0.27,15.667,34.97,False,False
design_7,design_7_seq6,OK,41.21,0.27,16.834,29.312,False,False
design_7,design_7_seq7,OK,43.68,0.28,13.622,26.639,False,False
design_7,design_7_seq8,OK,47.69,0.36,14.927,34.348,False,False
design_8,design_8_seq1,OK,45.94,0.34,13.563,7.573,False,False
design_8,design_8_seq2,OK,54.19,0.4,8.627,9.998,False,False
design_8,design_8_seq3,OK,46.09,0.39,17.644,3.193,False,False
design_8,design_8_seq4,OK,56.6,0.43,18.655,17.493,False,False
design_8,design_8_seq5,OK,49.46,0.37,12.287,13.661,False,False
design_8,design_8_seq6,OK,44.34,0.36,16.262,4.56,False,False
design_8,design_8_seq7,OK,43.6,0.31,12.851,10.093,False,False
design_8,design_8_seq8,OK,52.57,0.42,7.431,5.772,False,False
design_9,design_9_seq1,OK,40.5,0.22,18.844,16.231,False,False
design_9,design_9_seq2,OK,48.55,0.24,22.213,23.904,False,False
design_9,design_9_seq3,OK,40.23,0.23,17.526,10.311,False,False
design_9,design_9_seq4,OK,45.05,0.25,16.438,12.578,False,False
design_9,design_9_seq5,OK,47.63,0.23,15.35,31.608,False,False
design_9,design_9_seq6,OK,49.41,0.3,16.39,20.203,False,False
design_9,design_9_seq7,OK,40.62,0.25,20.669,22.125,False,False
design_9,design_9_seq8,OK,39.17,0.26,19.547,16.874,False,False
